movieId,title,release_date,release_year,budget,popularity,revenue,runtime,primary_company,primary_genre,all_genres,avg_rating,review_count,director,budget_tier,log_budget,log_revenue,studio_tier,studio_label,release_season,roi,roi_capped,weighted_rating
1,Toy Story,1995-10-30,1995,30000000,21.95,373554033.0,81.0,Pixar Animation Studios,Animation,Animation | Comedy | Family,3.89,66008,John Lasseter,High,17.22,19.74,0.0,Independent,Other,11.45,11.45,3.89
2,Jumanji,1995-12-15,1995,65000000,17.02,262797249.0,104.0,TriStar Pictures,Adventure,Adventure | Fantasy | Family,3.24,26060,Joe Johnston,Blockbuster,17.99,19.39,1.0,Major Studio,Year-End,3.04,3.04,3.25
4,Waiting to Exhale,1995-12-22,1995,16000000,3.86,81452156.0,127.0,Twentieth Century Fox Film Corporation,Comedy,Comedy | Drama | Romance,2.88,2981,Forest Whitaker,Mid,16.59,18.22,1.0,Major Studio,Year-End,4.09,4.09,3.03
6,Heat,1995-12-15,1995,60000000,17.92,187436818.0,170.0,Regency Enterprises,Action,Action | Crime | Drama | Thriller,3.84,27895,Michael Mann,Blockbuster,17.91,19.05,1.0,Major Studio,Year-End,2.12,2.12,3.83
9,Sudden Death,1995-12-22,1995,35000000,5.23,64350171.0,106.0,Universal Pictures,Action,Action | Adventure | Thriller,3.01,4423,Peter Hyams,High,17.37,17.98,1.0,Major Studio,Year-End,0.84,0.84,3.1
10,GoldenEye,1995-11-16,1995,58000000,14.69,352194034.0,130.0,United Artists,Adventure,Adventure | Action | Thriller,3.43,32534,Martin Campbell,Blockbuster,17.88,19.68,1.0,Major Studio,Year-End,5.07,5.07,3.43
11,The American President,1995-11-17,1995,62000000,6.32,107879496.0,106.0,Columbia Pictures,Comedy,Comedy | Drama | Romance,3.66,19475,Rob Reiner,Blockbuster,17.94,18.5,1.0,Major Studio,Year-End,0.74,0.74,3.66
14,Nixon,1995-12-22,1995,44000000,5.09,13681765.0,192.0,Hollywood Pictures,History,History | Drama,3.43,6807,Oliver Stone,Blockbuster,17.6,16.43,1.0,Major Studio,Year-End,-0.69,-0.69,3.44
15,Cutthroat Island,1995-12-22,1995,98000000,7.28,10017322.0,119.0,Le Studio Canal+,Action,Action | Adventure,2.73,3125,Renny Harlin,Blockbuster,18.4,16.12,0.0,Independent,Year-End,-0.9,-0.9,2.91
16,Casino,1995-11-22,1995,52000000,10.14,116112375.0,178.0,Universal Pictures,Drama,Drama | Crime,3.8,20517,Martin Scorsese,Blockbuster,17.77,18.57,1.0,Major Studio,Year-End,1.23,1.23,3.79
17,Sense and Sensibility,1995-12-13,1995,16500000,10.67,135000000.0,136.0,Columbia Pictures Corporation,Drama,Drama | Romance,3.95,24292,Ang Lee,Mid,16.62,18.72,1.0,Major Studio,Year-End,7.18,7.18,3.94
